"","Submission.id","Status","Custom.study.tncs.accepted.at","Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Completion.code","Total.approvals","Fluent.languages","Mild.cognitive.impairment.dementia","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Random_ID"
"1","661971045da025666c6f5a25","APPROVED","Not Applicable","2024-04-12T17:36:10.163000Z","2024-04-12T19:30:05.908000Z","2024-04-16T14:15:39.770000Z","2024-04-12T19:30:48.472514Z",6836,"C6UC3A24",18,"English","No","22","Male","Black","Nigeria","United Kingdom","DATA_EXPIRED","English","Yes","Full-Time","SUPPRF15657"
"2","6619757d6fae9709c3cbc430","APPROVED","Not Applicable","2024-04-12T17:55:45.415000Z","2024-04-12T18:45:34.441000Z","2024-04-16T14:15:40.456000Z","2024-04-12T18:46:29.020664Z",2990,"C6UC3A24",32,"English","No","20","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF69636"
"3","6619768c4c1f510a41c28420","APPROVED","Not Applicable","2024-04-12T17:59:48.252000Z","2024-04-12T19:18:59.881000Z","2024-04-16T14:15:41.009000Z","2024-04-12T19:19:36.406237Z",4752,"C6UC3A24",7,"English","No","20","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","DATA_EXPIRED","SUPPRF05105"
"4","6619773ca218136096b1bc7d","APPROVED","Not Applicable","2024-04-12T18:02:47.913000Z","2024-04-12T19:36:55.262000Z","2024-04-16T14:15:41.529000Z","2024-04-12T19:37:28.641743Z",5648,"C6UC3A24",26,"German, Japanese, Spanish, Italian, French, Chinese, English, Russian","No","23","Male","Black","Nigeria","United Kingdom","Nigeria","English","Yes","Part-Time","SUPPRF91970"
"5","661978915a0654b8bd0fe5e2","APPROVED","Not Applicable","2024-04-12T18:08:28.807000Z","2024-04-12T19:48:34.520000Z","2024-04-16T14:15:41.991000Z","2024-04-12T19:48:35.335716Z",6006,"C6UC3A24",616,"English, Tamil, Hindi, Arabic","No","23","Female","Asian","Bahrain","United Kingdom","India","English","Yes","Full-Time","SUPPRF18017"
"6","66197a97d988197f5b742bee","APPROVED","Not Applicable","2024-04-12T18:24:16.356000Z","2024-04-12T19:36:29.518000Z","2024-04-16T14:15:42.432000Z","2024-04-12T19:36:59.007941Z",4334,"C6UC3A24",73,"English","No","20","Female","White","Australia","United Kingdom","Australia","English","Yes","Due to start a new job within the next month","SUPPRF05744"
"7","66197beab5ff9b737b7659ba","APPROVED","Not Applicable","2024-04-12T18:28:15.687000Z","2024-04-12T19:34:29.562000Z","2024-04-16T14:15:42.883000Z","2024-04-12T19:34:30.766482Z",3974,"C6UC3A24",36,"English","No","22","Female","White","United Kingdom","United Kingdom","United Kingdom","English","No","Full-Time","SUPPRF00852"
"8","66197ed5dd93afd98b57ec62","APPROVED","Not Applicable","2024-04-12T18:35:15.700000Z","2024-04-12T19:51:07.122000Z","2024-04-16T14:15:43.292000Z","2024-04-12T19:53:06.785596Z",4552,"C6UC3A24",76,"English","No","24","Female","White","United Kingdom","United Kingdom","United Kingdom","English","Yes","Other","SUPPRF49465"
"9","66197f9aa5b6af8abf932544","APPROVED","Not Applicable","2024-04-12T18:42:07.661000Z","2024-04-12T19:25:36.561000Z","2024-04-16T14:15:43.738000Z","2024-04-12T19:27:02.101170Z",2609,"C6UC3A24",993,"English, Romanian","No","25","Male","White","Romania","United Kingdom","Romania","Romanian","No","Full-Time","SUPPRF83543"
"10","66197f9ddc20c9fb5159671f","APPROVED","Not Applicable","2024-04-12T18:38:37.582000Z","2024-04-12T19:23:31.146000Z","2024-04-16T14:15:44.398000Z","2024-04-12T19:23:36.674754Z",2694,"C6UC3A24",47,"Hindi, English","No","22","Male","Asian","Ireland","United Kingdom","Ireland","Hindi","Yes","Unemployed (and job seeking)","SUPPRF11317"
"11","661984cd43485e22ba0fe91a","APPROVED","Not Applicable","2024-04-12T19:01:01.440000Z","2024-04-12T19:51:46.347000Z","2024-04-16T14:15:44.848000Z","2024-04-12T19:53:32.034270Z",3045,"C6UC3A24",193,"English, Nepali","No","24","Female","Asian","Nepal","United Kingdom","Nepal","English","Yes","Unemployed (and job seeking)","SUPPRF83382"
"12","661988030e8d31580629efb6","APPROVED","Not Applicable","2024-04-12T19:14:16.389000Z","2024-04-12T20:02:46.467000Z","2024-04-16T14:15:45.321000Z","2024-04-12T20:03:01.420611Z",2911,"C6UC3A24",426,"English, Spanish","No","24","Male","White","United States","United States","United States","English","No","Unemployed (and job seeking)","SUPPRF24108"
"13","66198c46bc138c5e9f02285b","APPROVED","Not Applicable","2024-04-12T19:39:39.600000Z","2024-04-12T21:10:49.105000Z","2024-04-16T14:15:45.779000Z","2024-04-12T21:13:06.484638Z",5470,"C6UC3A24",53,"English","No","24","Male","White","United States","United States","United States","English","No","Unemployed (and job seeking)","SUPPRF15838"
